id,parent id,block type,proposal timestamp,finalization timestamp,depth,finalized,transactions
6be85,5e629,tree,846.6602276771732,None,221,False,884c998bab;8a5e9648d3;8d15b28e5d;d810fdddd1;824736282a;bbd545d72f;eaef349517;ad38e7ecec;5aea8a0a5c;445baa5500;fdd940a988;8eeb8eebee;afd5b8ece3;d8ca5f901a;b3161dbbb2;65ad8cce55;90f1e1e0fa;c865f8a17d;b3307aa0a8
92b30,5e629,tree,847.3028985897442,None,221,False,884c998bab;8a5e9648d3;8d15b28e5d;d810fdddd1;824736282a;bbd545d72f;eaef349517;ad38e7ecec;5aea8a0a5c;445baa5500;fdd940a988;8eeb8eebee;afd5b8ece3;d8ca5f901a;b3161dbbb2;65ad8cce55;90f1e1e0fa;c865f8a17d;b3307aa0a8
4c038,ca49b,tree,849.3306260066157,None,222,False,19545f6580
1f0fd,4c038,tree,856.5077987664218,None,223,False,23c1142369;0184a8dbbb;8f0453f34d;c28fb1046f;7ec66080ff;788dac7418;bf0be7fc23;f94ae514a1;e0e458351d;062468cfda
15bff,1f0fd,tree,861.1293107436211,None,224,False,6c1ff425e0;b0d5b8a0f4;2f80626a3a;be4047cf90
2dc21,15bff,tree,866.5987596339785,None,225,False,828564545e;1a29635deb;24fa122711;578e51d363;2421a18198;f1ce426719
c61bc,2dc21,tree,869.4290158047093,None,226,False,fb7f5340cf;2a7a3c9fc2;486aa8f2b4;df814e095e
765b8,c61bc,tree,870.2951397293656,None,227,False,40eaafa8e1;69e9aae6c5
0ba9a,c61bc,tree,871.7011243295758,None,227,False,40eaafa8e1;69e9aae6c5
f91f0,765b8,tree,872.4645051659143,None,228,False,
4f777,765b8,tree,872.5312345936361,None,228,False,
1a622,f91f0,tree,874.2213589292619,None,229,False,8aa03dc361;b2f503f3f7
351b7,1a622,tree,880.2476978766198,None,230,False,8185e62104;12edbb6369;be8ccf56e5;ba8ba036a2;c681da509e;7a75e3a061
13104,351b7,tree,882.8421566567163,None,231,False,d40d751541;0dd4384d33;8decb77e50;c93d348e57
47a8c,351b7,tree,885.7087073990917,None,231,False,d40d751541;0dd4384d33;8decb77e50;c93d348e57
c3688,13104,tree,891.8401790582126,None,232,False,e3c02eabb2;620ac62fef;46bf5d0408;55ade81541;782c56ea51;19d58384fe;0a91488e89;96df4e0f6f
e0e0a,c3688,tree,892.8010634740692,None,233,False,4092725a81
24f9c,c3688,tree,893.7104307392561,None,233,False,4092725a81
99dcb,e0e0a,tree,895.0377509924149,None,234,False,6a06f8f7bd;c3b0a0b1eb
d8529,e0e0a,tree,895.9482266851271,None,234,False,6a06f8f7bd;c3b0a0b1eb
bd37c,e0e0a,tree,897.0702961880008,None,234,False,6a06f8f7bd;c3b0a0b1eb
81826,e0e0a,tree,900.0910573087691,None,234,False,6a06f8f7bd;c3b0a0b1eb
e4a6a,99dcb,tree,900.688055829098,None,235,False,57c943333c;5fef96e643;50e9f1f992;5e960bcbc8;58564725be;0c1c2e7f8d
43f20,99dcb,tree,903.4183427697936,None,235,False,57c943333c;5fef96e643;50e9f1f992;5e960bcbc8;58564725be;0c1c2e7f8d
04fc6,e4a6a,tree,907.704180826839,None,236,False,cbe46e4f05;4fd76425d7;0201d2ea9b;3a278385a5;07ea3ba568;19d06e3388
b5ad3,e4a6a,tree,908.4027106309076,None,236,False,cbe46e4f05;4fd76425d7;0201d2ea9b;3a278385a5;07ea3ba568;19d06e3388
21895,04fc6,tree,911.0464396982793,None,237,False,
7c8c1,04fc6,tree,912.4938329292487,None,237,False,
d8527,04fc6,tree,912.9846889739196,None,237,False,089cae59fa;26da80c62e
2b970,21895,tree,914.5369747714707,None,238,False,089cae59fa;26da80c62e;d7f35eae40;4770685b55;1189e8604d
02c4e,2b970,tree,919.5375507402365,None,239,False,1a036243fe;cdaaec872a;8e5f717a81;390fa5398c;bd99d0c46b;30a6084a4d
89a7a,02c4e,tree,923.1698153603161,None,240,False,8943d747e7;11727e9bb4;81cc6c5b58
0cba9,02c4e,tree,923.3938060165117,None,240,False,8943d747e7;11727e9bb4;81cc6c5b58
b05e1,89a7a,tree,928.2938121066205,None,241,False,697018cd83;2cb7c204bb;063e964f04;36cfa098e8;dd8e7336f6;82865993fd;d5c1441358;68b166828c;bf99bc5871
a2e82,b05e1,tree,932.2061707162478,None,242,False,a8d2cc936c;0a3130fad6
bba94,a2e82,tree,936.0483968646175,None,243,False,75f6107683;0935deeb36
6d2e6,bba94,tree,937.5772140836009,None,244,False,acecc7577b
d6e20,6d2e6,tree,938.4960898514963,None,245,False,
68073,6d2e6,tree,938.632473642863,None,245,False,
c8bb7,6d2e6,tree,938.8708901872848,None,245,False,
a542f,d6e20,tree,941.0744445632108,None,246,False,3f8740503f
f3cc0,d6e20,tree,941.829626477943,None,246,False,3f8740503f
ae841,a542f,tree,942.9425979490351,None,247,False,4fe19bb138;99abe53693
70891,a542f,tree,943.5860861441041,None,247,False,4fe19bb138;99abe53693
128e4,ae841,tree,946.0696104738903,None,248,False,525b9c6096;cc119d4791;3b7fc2bd15;6009836e65;3dff3a1208
b3aff,128e4,tree,950.232553354087,None,249,False,f827302587;cfc4fc5d26;f05e1eaa58;04a4bfb1f6;5f34a36983;a7718884e9;e94cd02b8f;f28ff155a8
ca929,128e4,tree,950.3724631276849,None,249,False,f827302587;cfc4fc5d26;f05e1eaa58;04a4bfb1f6;5f34a36983;a7718884e9;e94cd02b8f;f28ff155a8
2221c,b3aff,tree,951.2301823677044,None,250,False,9dbb777ba3
9d873,2221c,tree,953.3645610528977,None,251,False,81c483037f;eef589cf6f
1c12e,2221c,tree,954.7511917618639,None,251,False,81c483037f;eef589cf6f
1d945,2221c,tree,955.1291081620647,None,251,False,81c483037f;eef589cf6f
